楼层,房间名,面积(m²),估周长(m),墙面积(m²),洞扣除(m²),净墙(m²),墙材,墙费(¥),地材,地费(¥),踢脚线(m),踢脚费(¥),合计(¥)
B1,洗衣房/露台,18.8,17.3,48.5,6.0,42.5,内墙乳胶漆,1115,地砖(800×800),1576,13.9,218,2909
B1,衣帽间?,5.5,9.4,26.4,4.1,22.2,内墙乳胶漆,584,木地板(复合),699,7.5,198,1481
B1,车库?,1.9,5.5,15.4,4.1,11.3,内墙乳胶漆,297,木地板(复合),239,4.4,116,652
B1,露台?,0.9,3.8,10.6,4.1,6.4,内墙乳胶漆,169,地砖(800×800),75,3.0,48,291
B1,衣帽间?,0.8,3.5,9.7,4.1,5.6,内墙乳胶漆,146,木地板(复合),94,2.8,73,313
B1,衣帽间?,0.7,3.4,9.6,4.1,5.5,内墙乳胶漆,144,木地板(复合),93,2.8,72,310
F1,衣帽间?,1.0,4.1,11.4,4.1,7.3,内墙乳胶漆,191,木地板(复合),131,3.3,86,408
F1,衣帽间?,0.7,3.4,9.5,4.1,5.4,内墙乳胶漆,141,木地板(复合),91,2.7,71,303
F1,景观阳台?,0.6,3.0,8.3,4.1,4.2,内墙乳胶漆,109,地砖(800×800),46,2.4,37,193
F2,洗衣房/露台,8.7,11.8,33.1,4.1,28.9,内墙乳胶漆,759,地砖(800×800),732,9.4,149,1641
F2,茶室?,2.8,6.7,18.7,4.1,14.5,内墙乳胶漆,382,木地板(复合),350,5.3,140,872
F2,景观阳台?,1.9,5.5,15.5,4.1,11.3,内墙乳胶漆,298,地砖(800×800),160,4.4,70,528
F2,电梯厅?,0.7,3.4,9.6,4.1,5.4,内墙乳胶漆,143,木地板(复合),92,2.7,72,306
F2,电梯厅?,0.7,3.4,9.6,4.1,5.4,内墙乳胶漆,143,木地板(复合),92,2.7,72,306
F3,餐厅/休闲区/卫生间/储,188.9,55.0,153.9,24.5,129.5,瓷砖(墙砖300×600),12234,地砖(600×600),11901,44.0,693,24828
F3,餐厅/休闲区/卫生间/储,187.7,54.8,153.4,24.5,129.0,瓷砖(墙砖300×600),12187,地砖(600×600),11824,43.8,690,24702
F3,露台,15.0,15.5,43.3,6.0,37.3,内墙乳胶漆,979,地砖(800×800),1257,12.4,195,2432
F3,露台,12.4,14.1,39.4,6.0,33.4,内墙乳胶漆,877,地砖(800×800),1042,11.3,177,2096
F3,衣帽间?,0.6,3.1,8.6,4.1,4.5,内墙乳胶漆,117,木地板(复合),74,2.5,65,256
F3,卧室?,0.6,3.0,8.4,4.1,4.2,内墙乳胶漆,111,木地板(复合),71,2.4,63,245
F3,衣帽间?,0.6,3.0,8.4,4.1,4.2,内墙乳胶漆,111,木地板(复合),71,2.4,63,245
F4,衣帽间?,3.5,7.5,21.0,4.1,16.9,内墙乳胶漆,444,木地板(复合),445,6.0,158,1046
F4,衣帽间?,1.0,4.1,11.4,4.1,7.3,内墙乳胶漆,191,木地板(复合),131,3.3,86,408
F4,卫生间?,1.0,4.0,11.3,4.1,10.8,瓷砖(墙砖300×600),1017,地砖(600×600),64,3.2,51,1132
F4,客厅?,0.9,3.8,10.7,4.1,6.6,内墙乳胶漆,173,木地板(复合),116,3.1,81,370
F4,露台?,0.9,3.8,10.7,4.1,6.6,内墙乳胶漆,173,地砖(800×800),77,3.1,48,299
F4,卧室二?,0.8,3.5,9.8,4.1,5.6,内墙乳胶漆,148,木地板(复合),96,2.8,73,317
F4,衣帽间?,0.7,3.4,9.5,4.1,5.4,内墙乳胶漆,141,木地板(复合),91,2.7,71,303
F5,电梯（井道净宽1.6米，,0.9,3.8,10.7,4.1,6.6,内墙乳胶漆,173,木地板(复合),116,3.1,81,370
F5,客厅?,0.8,3.6,10.0,4.1,5.9,内墙乳胶漆,154,木地板(复合),101,2.9,75,330
F5,客厅?,0.6,3.0,8.4,4.1,4.2,内墙乳胶漆,111,木地板(复合),71,2.4,63,245
F5,露台?,0.5,2.9,8.1,4.1,3.9,内墙乳胶漆,103,地砖(800×800),44,2.3,36,183
